backbone,mAP,Rank-1,CMC@5
convnext_small_timm,0.8399,0.7271,0.9569
eva02_large_patch14_448_timm,0.8346,0.716,0.9644
convnext_large_timm,0.8233,0.6985,0.9569
convnextv2_base.fcmae_ft_in22k_in1k_384_timm,0.8226,0.6857,0.9685
tf_efficientnetv2_l.in21k_ft_in1k_timm,0.822,0.7026,0.9493
convnext_base_timm,0.8103,0.6717,0.9615
eva02_base_patch14_448_timm,0.8075,0.663,0.965
efficientnet_b5_timm,0.8006,0.6496,0.9609
tresnet_l_timm,0.7948,0.6566,0.9475
swin_base_patch4_window12_384_timm,0.7927,0.6379,0.9615
maxvit_base_tf_384_timm,0.7869,0.6344,0.9586
densenet161_tv,0.7725,0.621,0.9429
seresnext101_32x4d_timm,0.7705,0.6134,0.9399
resnet101_tv,0.7486,0.5749,0.9376
resnest101e_timm,0.7435,0.5761,0.9219
efficientnet_b1_timm,0.7113,0.5405,0.916
resnet18_tv,0.7087,0.5592,0.881
repvgg_a0_timm,0.6986,0.5131,0.916
mobilenet_v3_large_tv,0.6903,0.5458,0.8589
efficientnet_b0_timm,0.6854,0.5172,0.8729
efficientformerv2_s1_timm,0.6825,0.5475,0.8583
squeezenet1_0_tv,0.6242,0.481,0.8047
efficientformerv2_s0_timm,0.621,0.4805,0.8041
mobilevit_s_timm,0.6158,0.4606,0.814
mobilevit_xs_timm,0.5871,0.4443,0.7685
ghostnet_100_timm,0.5512,0.3936,0.7394
levit_128s_timm,0.0932,0.0437,0.123
